economy,time,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,SL.EMP.TOTL.SP.ZS
IND,1994,6.65892407028434,588.727892188017,53.655
IND,1995,7.57449183788519,620.699954330379,53.975
IND,1996,7.54952224920051,654.355928429641,54.302
IND,1997,4.04982084998183,667.598423095039,54.592
IND,1998,6.18441582172117,695.293709344799,54.892
IND,1999,8.84575555939531,742.53920839445,55.213
IND,2000,3.84099115659129,756.704109527449,55.52
IND,2001,4.82396626555771,778.507377528365,55.363
IND,2002,3.80397532112175,793.615912906381,55.175
IND,2003,7.8603814759073,841.278894571674,55.056
IND,2004,7.92293661199932,892.596614581612,54.928
IND,2005,7.92343062148318,947.732565646672,54.812
IND,2006,8.06073257166651,1008.23275343783,53.938
IND,2007,7.6608150670107,1069.24696813025,53.076
IND,2008,3.08669805921981,1086.50605251513,52.2
IND,2009,7.86188883286074,1155.10163274172,51.379
IND,2010,8.49758470221235,1235.15939133951,50.586
IND,2011,5.24131619937695,1281.61054354933,50.012
IND,2012,5.45638755166587,1333.09626557668,49.418
IND,2013,6.38610640094825,1399.4537980287,49.267
IND,2014,7.41022760508854,1484.31640682913,49.132
IND,2015,7.99625378571471,1583.99815907985,48.985
IND,2016,8.25630550179086,1694.46534973825,48.83
IND,2017,6.79538341897911,1788.69770318446,48.655
IND,2018,6.45385134497769,1883.35772705062,48.466
IND,2019,3.87143694070356,1936.03067741067,48.88
IND,2020,-5.77772470686801,1806.50110583878,47.496
IND,2021,9.68959249192875,1965.30943437506,49.171
IND,2022,7.60936497768895,2098.2112447615,51.003
IND,2023,9.19075493028345,2270.9051808027,52.415
LKA,1990,6.39999531084838,1388.58951823335,
LKA,1991,4.59998724404535,1441.62996809528,50.399
LKA,1992,4.39999125181939,1481.33110127451,48.569
LKA,1993,6.90006325149474,1556.88467456091,48.881
LKA,1994,5.59991872510166,1620.2912104558,49.608
LKA,1995,5.5000852341585,1681.35053208093,48.146
LKA,1996,3.79996720568178,1712.00815802791,49.112
LKA,1997,6.40539969571286,1787.41017985524,49.385
LKA,1998,4.69842304772052,1836.38946262206,53.426
LKA,1999,4.30054049813373,1880.1067802774,52.221
LKA,2000,6.00003315828934,1956.93310381072,51.269
LKA,2001,-1.54540813366026,1896.48251734068,50.971
LKA,2002,3.96467568513113,1951.22522777045,50.288
LKA,2003,5.9402690780223,2052.03045078787,50.378
LKA,2004,5.44506127885352,2149.10628588002,50.081
LKA,2005,6.24174804376447,2268.6880127005,50.26
LKA,2006,7.66829190107919,2426.34873273046,50.684
LKA,2007,6.79682611892866,2573.54362192705,50.757
LKA,2008,5.95008814473897,2708.58594222506,50.945
LKA,2009,3.53891205317842,2787.27350976338,50.392
LKA,2010,8.01596737055139,2993.01411511147,50.745
LKA,2011,8.6694830119314,3232.37350382301,50.69
LKA,2012,8.63218137662685,3484.79049033884,50.53
LKA,2013,4.05174633027869,3728.93586647848,49.874
LKA,2014,6.3779788972687,3929.92062032185,49.454
LKA,2015,4.20595547449241,4057.7158346231,51.243
LKA,2016,5.05362488994436,4214.74117992085,51.446
LKA,2017,6.46068127065753,4436.00789945768,51.807
LKA,2018,2.31008425545845,4493.03575444544,49.488
LKA,2019,-0.220483886831275,4455.78189608267,49.809
LKA,2020,-4.62451503749502,4227.23315306594,47.786
LKA,2021,4.2074764951157,4357.97225779491,47.354
LKA,2022,-7.34919301306745,4033.14561476298,47.476
LKA,2023,-2.3298481898334,3964.91987394354,45.254
MDV,1990,16.9522974545621,4582.26127944099,
MDV,1991,1.44269605394094,4507.19492955077,49.485
MDV,1992,6.67082544437399,4671.99639313801,49.84
MDV,1993,5.55676907924001,4803.909904607,50.192
MDV,1994,7.74948623307952,5053.64633599107,50.548
MDV,1995,12.9857843069314,5580.26342049427,50.905
MDV,1996,7.85864699857959,5888.07241870662,51.48
MDV,1997,8.39794100450224,6254.75856992657,52.05
MDV,1998,7.4946829140504,6599.87173747822,52.612
MDV,1999,6.17565592929535,6889.01246088686,53.171
MDV,2000,3.84581040832157,7037.08546104613,53.72
MDV,2001,-3.94363452271253,6647.6503820039,52.845
MDV,2002,7.26838656139654,7012.25568873173,51.983
MDV,2003,13.7500496410836,7845.29307409315,51.139
MDV,2004,5.92489251113133,8174.41607301248,50.305
MDV,2005,-11.1773097061784,7141.88377049891,49.404
MDV,2006,23.6302719852686,8620.72814678183,48.579
MDV,2007,7.13338024717898,8933.17166363858,47.736
MDV,2008,8.97645459033633,9396.49733610486,46.971
MDV,2009,-8.34069861571051,8313.4098369723,46.005
MDV,2010,6.7854678229144,8569.52494600725,47.048
MDV,2011,8.84342600490342,9005.81391375104,48.106
MDV,2012,2.38928797963442,8907.66134868182,49.217
MDV,2013,6.97496226412528,9213.32791442475,50.299
MDV,2014,7.86068643108074,9612.07861806739,51.389
MDV,2015,3.86813536494475,9644.90655028145,52.497
MDV,2016,6.37528306716864,9909.07669723415,53.61
MDV,2017,7.07442863215275,10263.2991147672,55.999
MDV,2018,8.5689555834747,10793.8941325367,58.383
MDV,2019,6.92305989050099,11194.9253748064,60.729
MDV,2020,-32.9088287752921,7295.60220956454,55.144
MDV,2021,37.507870124321,9759.2219360708,56.785
MDV,2022,13.8260895184139,10939.9963271738,60.695
MDV,2023,4.94286301229583,11439.5364342871,60.782
NPL,1990,4.63503634698831,422.724738575869,
NPL,1991,6.3681503973968,438.15619419594,37.197
NPL,1992,4.10640661731669,443.462044821677,37.205
NPL,1993,3.84985002629573,448.13094087379,37.197
NPL,1994,8.21600269296587,472.951082824345,37.19
NPL,1995,3.46845189309603,477.741099613336,37.154
NPL,1996,5.32828417508708,492.212428031946,37.129
NPL,1997,5.04861254517328,506.426874424217,37.074
NPL,1998,3.01638947539399,511.54871132025,37.047
NPL,1999,4.41257328041399,524.27256909301,37.019
NPL,2000,6.19999998192236,547.221082273632,37.008
NPL,2001,4.79989214255407,564.28622920391,37.005
NPL,2002,0.120143177369414,556.438454538796,36.95
NPL,2003,3.94503776051116,570.28967363428,36.91
NPL,2004,4.68260325152944,589.46992868617,36.889
NPL,2005,3.47918104829496,603.190108570995,36.877
NPL,2006,3.36461478056277,617.477638588722,36.804
